Wavelength (nm),QE
270,0.15
280,0.17
290,0.31
300,0.48
310,0.58
320,0.65
330,0.66
340,0.69
350,0.71
360,0.73
370,0.74
380,0.78
390,0.79
400,0.83
410,0.86
420,0.87
430,0.89
440,0.89
450,0.9
460,0.91
470,0.91
480,0.9
490,0.9
500,0.89
510,0.88
520,0.88
530,0.86
540,0.85
550,0.85
560,0.85
570,0.83
580,0.82
590,0.81
600,0.79
610,0.78
620,0.76
630,0.74
640,0.72
650,0.7
660,0.69
670,0.67
680,0.66
690,0.65
700,0.63
710,0.62
720,0.61
730,0.6
740,0.59
750,0.58
760,0.58
770,0.56
780,0.54
790,0.54
800,0.52
810,0.51
820,0.51
830,0.5
840,0.48
850,0.44
860,0.42
870,0.41
880,0.42
890,0.41
900,0.37
910,0.34
920,0.33
930,0.29
940,0.27
950,0.24
960,0.21
970,0.19
980,0.17
990,0.15
1000,0.12
1010,0.09
1020,0.07
1030,0.05
1040,0.04
1050,0.03
1060,0.02
1070,0.01
1080,0.01
1090,0.01
1100,0.01
