Design Name,SHERA 550-73nmNotch filter Rev-A,,,,,
Center Wavelength (nm),570nm,,,,,
Incident Angle (deg),0,,,,,
Wavelength (nm),R (%),T (%),,,,
350,24.720525,75.279475,,,,
352,6.882358,93.117642,,,,
354,3.395725,96.604275,,,,
356,0.272383,99.727617,,,,
358,0.626342,99.373658,,,,
360,1.316965,98.683035,,,,
362,1.307706,98.692294,,,,
364,1.696288,98.303712,,,,
366,1.101136,98.898864,,,,
368,0.078424,99.921576,,,,
370,1.112338,98.887662,,,,
372,2.952975,97.047025,,,,
374,2.664988,97.335012,,,,
376,0.797684,99.202316,,,,
378,0.007535,99.992465,,,,
380,0.696356,99.303644,,,,
382,1.460823,98.539177,,,,
384,2.024973,97.975027,,,,
386,2.606758,97.393242,,,,
388,2.446458,97.553542,,,,
390,1.142958,98.857042,,,,
392,0.160271,99.839729,,,,
394,1.072485,98.927515,,,,
396,2.850381,97.149619,,,,
398,3.210376,96.789624,,,,
400,1.770224,98.229776,,,,
402,0.5415,99.4585,,,,
404,0.900845,99.099155,,,,
406,2.383666,97.616334,,,,
408,3.388261,96.611739,,,,
410,3.020569,96.979431,,,,
412,1.706008,98.293992,,,,
414,0.509771,99.490229,,,,
416,0.084856,99.915144,,,,
418,0.31579,99.68421,,,,
420,0.85053,99.14947,,,,
422,1.562378,98.437622,,,,
424,2.37901,97.62099,,,,
426,2.959614,97.040386,,,,
428,2.835184,97.164816,,,,
430,1.915145,98.084855,,,,
432,0.790141,99.209859,,,,
434,0.395814,99.604186,,,,
436,1.155772,98.844228,,,,
438,2.489839,97.510161,,,,
440,3.342648,96.657352,,,,
442,3.070006,96.929994,,,,
444,1.89895,98.10105,,,,
446,0.75536,99.24464,,,,
448,0.557066,99.442934,,,,
450,1.445632,98.554368,,,,
452,2.561019,97.438981,,,,
454,3.270264,96.729736,,,,
456,3.219361,96.780639,,,,
458,2.496258,97.503742,,,,
460,1.491557,98.508443,,,,
462,0.633195,99.366805,,,,
464,0.159014,99.840986,,,,
466,0.075307,99.924693,,,,
468,0.291645,99.708355,,,,
470,0.758896,99.241104,,,,
472,1.469311,98.530689,,,,
474,2.333551,97.666449,,,,
476,3.093062,96.906938,,,,
478,3.390766,96.609234,,,,
480,2.979936,97.020064,,,,
482,1.945212,98.054788,,,,
484,0.791728,99.208272,,,,
486,0.259697,99.740303,,,,
488,0.837739,99.162261,,,,
490,2.308178,97.691822,,,,
492,3.806424,96.193576,,,,
494,4.37765,95.62235,,,,
496,3.581386,96.418614,,,,
498,1.851901,98.148099,,,,
500,0.430199,99.569801,,,,
502,0.49834,99.50166,,,,
504,1.833823,98.166177,,,,
506,2.744929,97.255071,,,,
508,2.63357,97.36643,,,,
510,7.658576,92.341424,,,,
512,30.602344,69.397656,,,,
514,62.290813,37.709187,,,,
516,82.439958,17.560042,,,,
518,91.703153,8.296847,,,,
520,95.780508,4.219492,,,,
522,97.672541,2.327459,,,,
524,98.616405,1.383595,,,,
526,99.121132,0.878868,,,,
528,99.408086,0.591914,,,,
530,99.580028,0.419972,,,,
532,99.687717,0.312283,,,,
534,99.757667,0.242333,,,,
536,99.804415,0.195585,,,,
538,99.836275,0.163725,,,,
540,99.858171,0.141829,,,,
542,99.873092,0.126908,,,,
544,99.882878,0.117122,,,,
546,99.888649,0.111351,,,,
548,99.891021,0.108979,,,,
550,99.890313,0.109687,,,,
552,99.88652,0.11348,,,,
554,99.879352,0.120648,,,,
556,99.868198,0.131802,,,,
558,99.852024,0.147976,,,,
560,99.8292,0.1708,,,,
562,99.797193,0.202807,,,,
564,99.752051,0.247949,,,,
566,99.687486,0.312514,,,,
568,99.593263,0.406737,,,,
570,99.4522,0.5478,,,,
572,99.234416,0.765584,,,,
574,98.885797,1.114203,,,,
576,98.303709,1.696291,,,,
578,97.283315,2.716685,,,,
580,95.392598,4.607402,,,,
582,91.671147,8.328853,,,,
584,83.935367,16.064633,,,,
586,67.712384,32.287616,,,,
588,38.606238,61.393762,,,,
590,8.566064,91.433936,,,,
