Design Name,SHERA 550-60nmNotch filter Rev-B14,
Center Wavelength (nm),580,
Incident Angle (deg),0,
Wavelength (nm),R (%),T (%)
350,0.517721,99.482279
352,0.553256,99.446744
354,0.377363,99.622637
356,0.333394,99.666606
358,0.485704,99.514296
360,0.387812,99.612188
362,0.720171,99.279829
364,0.887394,99.112606
366,0.51358,99.48642
368,0.363704,99.636296
370,0.594677,99.405323
372,0.680612,99.319388
374,0.612386,99.387614
376,0.643597,99.356403
378,0.676815,99.323185
380,0.620102,99.379898
382,0.629558,99.370442
384,0.722976,99.277024
386,0.714332,99.285668
388,0.600927,99.399073
390,0.581389,99.418611
392,0.684533,99.315467
394,0.726069,99.273931
396,0.642557,99.357443
398,0.584216,99.415784
400,0.63737,99.36263
402,0.710323,99.289677
404,0.676644,99.323356
406,0.575178,99.424822
408,0.558198,99.441802
410,0.66968,99.33032
412,0.775652,99.224348
414,0.735705,99.264295
416,0.583571,99.416429
418,0.489171,99.510829
420,0.554932,99.445068
422,0.698547,99.301453
424,0.759288,99.240712
426,0.68458,99.31542
428,0.575985,99.424015
430,0.558055,99.441945
432,0.634794,99.365206
434,0.700168,99.299832
436,0.67602,99.32398
438,0.605414,99.394586
440,0.596025,99.403975
442,0.683912,99.316088
444,0.780955,99.219045
446,0.76749,99.23251
448,0.628099,99.371901
450,0.483812,99.516188
452,0.463838,99.536162
454,0.568636,99.431364
456,0.71361,99.28639
458,0.781306,99.218694
460,0.718587,99.281413
462,0.578423,99.421577
464,0.474159,99.525841
466,0.484549,99.515451
468,0.58915,99.41085
470,0.689543,99.310457
472,0.696479,99.303521
474,0.606573,99.393427
476,0.506753,99.493247
478,0.501226,99.498774
480,0.617979,99.382021
482,0.774661,99.225339
484,0.838452,99.161548
486,0.73526,99.26474
488,0.522581,99.477419
490,0.363222,99.636778
492,0.403835,99.596165
494,0.643798,99.356202
496,0.908733,99.091267
498,0.973045,99.026955
500,0.751891,99.248109
502,0.417479,99.582521
504,0.310477,99.689523
506,0.624731,99.375269
508,1.084836,98.915164
510,1.033873,98.966127
512,0.26968,99.73032
514,0.877562,99.122438
516,9.03273,90.96727
518,29.61246,70.38754
520,54.82339,45.17661
522,73.748041,26.251959
524,84.847813,15.152187
526,90.890877,9.109123
528,94.205547,5.794453
530,96.091768,3.908232
532,97.212409,2.787591
534,97.905451,2.094549
536,98.348334,1.651666
538,98.637688,1.362312
540,98.827972,1.172028
542,98.950672,1.049328
544,99.024106,0.975894
546,99.058554,0.941446
548,99.058781,0.941219
550,99.02573,0.97427
552,98.956269,1.043731
554,98.842872,1.157128
556,98.672135,1.327865
558,98.421892,1.578108
560,98.056,1.944
562,97.514971,2.485029
564,96.698955,3.301045
566,95.436369,4.563631
568,93.425887,6.574113
570,90.132248,9.867752
572,84.620317,15.379683
574,75.396096,24.603904
576,60.705433,39.294567
578,40.47888,59.52112
580,19.614967,80.385033
582,5.748011,94.251989
584,0.754345,99.245655
586,0.666257,99.333743
588,1.681702,98.318298
590,2.165043,97.834957
592,1.891323,98.108677
594,1.20281,98.79719
596,0.535719,99.464281
598,0.182766,99.817234
600,0.21326,99.78674
602,0.514479,99.485521
604,0.895028,99.104972
606,1.183255,98.816745
608,1.283502,98.716498
610,1.187679,98.812321
612,0.956354,99.043646
614,0.684719,99.315281
616,0.465977,99.534023
618,0.362173,99.637827
620,0.389829,99.610171
622,0.522423,99.477577
624,0.705918,99.294082
626,0.879601,99.120399
628,0.994665,99.005335
630,1.025769,98.974231
632,0.97422,99.02578
634,0.863795,99.136205
636,0.731616,99.268384
638,0.61684,99.38316
640,0.550165,99.449835
642,0.546647,99.453353
644,0.603357,99.396643
646,0.701882,99.298118
648,0.81461,99.18539
650,0.912334,99.087666
652,0.971253,99.028747
654,0.977943,99.022057
656,0.931511,99.068489
658,0.842992,99.157008
660,0.731945,99.268055
662,0.62207,99.37793
664,0.536067,99.463933
666,0.491014,99.508986
668,0.495213,99.504787
670,0.547026,99.452974
672,0.635853,99.364147
674,0.744776,99.255224
676,0.854135,99.145865
678,0.945252,99.054748
680,1.003625,98.996375
682,1.021033,98.978967
684,0.996405,99.003595
686,0.935444,99.064556
688,0.849195,99.150805
690,0.751902,99.248098
692,0.658526,99.341474
694,0.582334,99.417666
696,0.532942,99.467058
698,0.515111,99.484889
700,0.528428,99.471572
702,0.567842,99.432158
704,0.624903,99.375097
706,0.689393,99.310607
708,0.751077,99.248923
710,0.801199,99.198801
712,0.833636,99.166364
714,0.845506,99.154494
716,0.837248,99.162752
718,0.812217,99.187783
720,0.775907,99.224093
722,0.734944,99.265056
724,0.696009,99.303991
726,0.664848,99.335152
728,0.645506,99.354494
730,0.639871,99.360129
732,0.647573,99.352427
734,0.66622,99.33378
736,0.691904,99.308096
738,0.719887,99.280113
740,0.745343,99.254657
742,0.764049,99.235951
744,0.772952,99.227048
746,0.770521,99.229479
748,0.756888,99.243112
750,0.733752,99.266248
