# Model SED for star 70 Oph B = GJ 702B = HD 165341 B
# Spectral template: K4V_HD160964_GaiaDR3_spec.dat
# Adjusted Vmag(template)=8.564 to Vmag(target)=6.066
# lam(nm) Flux(W/m2/nm) unc_Flux(W/m2/nm)
  336 0.445291E-13 0.654431E-14
  338 0.467024E-13 0.511098E-14
  340 0.440334E-13 0.412156E-14
  342 0.364043E-13 0.346138E-14
  344 0.313212E-13 0.329997E-14
  346 0.303803E-13 0.313983E-14
  348 0.308817E-13 0.338612E-14
  350 0.326719E-13 0.352461E-14
  352 0.389151E-13 0.381865E-14
  354 0.442432E-13 0.417310E-14
  356 0.375393E-13 0.387281E-14
  358 0.264405E-13 0.365354E-14
  360 0.246787E-13 0.330544E-14
  362 0.309922E-13 0.331097E-14
  364 0.363621E-13 0.341222E-14
  366 0.364300E-13 0.354995E-14
  368 0.354597E-13 0.389132E-14
  370 0.371700E-13 0.421573E-14
  372 0.373864E-13 0.425538E-14
  374 0.311247E-13 0.502375E-14
  376 0.230099E-13 0.480729E-14
  378 0.230545E-13 0.558328E-14
  380 0.302416E-13 0.593658E-14
  382 0.312089E-13 0.531104E-14
  384 0.200440E-13 0.620771E-14
  386 0.827136E-14 0.507916E-14
  388 0.857395E-14 0.476508E-14
  390 0.184956E-13 0.495080E-14
  392 0.269990E-13 0.360776E-14
  394 0.287872E-13 0.379069E-14
  396 0.281775E-13 0.379550E-14
  398 0.321924E-13 0.283874E-14
  400 0.427112E-13 0.321790E-14
  402 0.553169E-13 0.329504E-14
  404 0.633950E-13 0.253750E-14
  406 0.647507E-13 0.288889E-14
  408 0.625959E-13 0.313206E-14
  410 0.620299E-13 0.248946E-14
  412 0.653745E-13 0.261884E-14
  414 0.706203E-13 0.307424E-14
  416 0.728366E-13 0.262984E-14
  418 0.691560E-13 0.237401E-14
  420 0.609795E-13 0.292582E-14
  422 0.531223E-13 0.288464E-14
  424 0.504996E-13 0.234386E-14
  426 0.549335E-13 0.255479E-14
  428 0.640101E-13 0.292997E-14
  430 0.735018E-13 0.262018E-14
  432 0.798108E-13 0.226028E-14
  434 0.820427E-13 0.259130E-14
  436 0.822930E-13 0.279895E-14
  438 0.836862E-13 0.245981E-14
  440 0.879836E-13 0.220206E-14
  442 0.953049E-13 0.248908E-14
  444 0.104011E-12 0.265812E-14
  446 0.112013E-12 0.238665E-14
  448 0.117907E-12 0.212211E-14
  450 0.121557E-12 0.229203E-14
  452 0.124060E-12 0.248850E-14
  454 0.126765E-12 0.234783E-14
  456 0.130359E-12 0.206651E-14
  458 0.134924E-12 0.206395E-14
  460 0.139273E-12 0.225636E-14
  462 0.142390E-12 0.227882E-14
  464 0.143424E-12 0.207529E-14
  466 0.142040E-12 0.189896E-14
  468 0.139384E-12 0.195505E-14
  470 0.136031E-12 0.207253E-14
  472 0.133253E-12 0.204375E-14
  474 0.131681E-12 0.187947E-14
  476 0.131250E-12 0.174909E-14
  478 0.131504E-12 0.175996E-14
  480 0.132050E-12 0.182272E-14
  482 0.131889E-12 0.180622E-14
  484 0.131159E-12 0.170920E-14
