# Model SED for star alfCenA                         
# Spectral template: G2V_18Sco_GaiaDR3_spec.dat      
# Adjusted Vmag(template)= 5.500 to Vmag(target)= 0.010
 # lam(nm) Flux(W/m2/nm) unc_Flux(W/m2/nm)
  336 0.257047E-10 0.337467E-11
  338 0.251837E-10 0.275438E-11
  340 0.225077E-10 0.236375E-11
  342 0.201023E-10 0.221769E-11
  344 0.198461E-10 0.218224E-11
  346 0.201892E-10 0.226969E-11
  348 0.196385E-10 0.248520E-11
  350 0.193207E-10 0.269934E-11
  352 0.219794E-10 0.307805E-11
  354 0.258508E-10 0.332409E-11
  356 0.252267E-10 0.328840E-11
  358 0.215968E-10 0.293863E-11
  360 0.204619E-10 0.280742E-11
  362 0.217267E-10 0.275177E-11
  364 0.230934E-10 0.283141E-11
  366 0.236374E-10 0.299241E-11
  368 0.244298E-10 0.320414E-11
  370 0.259755E-10 0.346846E-11
  372 0.268373E-10 0.360101E-11
  374 0.255087E-10 0.404371E-11
  376 0.229199E-10 0.410659E-11
  378 0.220734E-10 0.464688E-11
  380 0.234742E-10 0.487659E-11
  382 0.243554E-10 0.474902E-11
  384 0.228361E-10 0.514996E-11
  386 0.204244E-10 0.448443E-11
  388 0.195714E-10 0.424095E-11
  390 0.204128E-10 0.415943E-11
  392 0.215804E-10 0.334464E-11
  394 0.223436E-10 0.330178E-11
  396 0.235011E-10 0.326111E-11
  398 0.261045E-10 0.269523E-11
  400 0.300498E-10 0.277487E-11
  402 0.341746E-10 0.288677E-11
  404 0.368033E-10 0.245783E-11
  406 0.374842E-10 0.245863E-11
  408 0.369516E-10 0.270625E-11
  410 0.364175E-10 0.243576E-11
  412 0.366510E-10 0.222275E-11
  414 0.376682E-10 0.250471E-11
  416 0.385250E-10 0.251628E-11
  418 0.385018E-10 0.218741E-11
  420 0.374569E-10 0.220160E-11
  422 0.358630E-10 0.244964E-11
  424 0.344395E-10 0.235600E-11
  426 0.337086E-10 0.207484E-11
  428 0.335653E-10 0.211342E-11
  430 0.337856E-10 0.230918E-11
  432 0.340679E-10 0.222775E-11
  434 0.343522E-10 0.195945E-11
  436 0.349258E-10 0.193716E-11
  438 0.360881E-10 0.213470E-11
  440 0.377422E-10 0.213636E-11
  442 0.396488E-10 0.187767E-11
  444 0.413681E-10 0.171875E-11
  446 0.425202E-10 0.188745E-11
  448 0.429221E-10 0.203717E-11
  450 0.426512E-10 0.189663E-11
  452 0.420436E-10 0.161447E-11
  454 0.414742E-10 0.158291E-11
  456 0.411818E-10 0.179069E-11
  458 0.413360E-10 0.185993E-11
  460 0.417864E-10 0.165499E-11
  462 0.424119E-10 0.139169E-11
  464 0.430157E-10 0.139652E-11
  466 0.433859E-10 0.157159E-11
  468 0.436092E-10 0.160538E-11
  470 0.435317E-10 0.141873E-11
  472 0.432565E-10 0.120891E-11
  474 0.428242E-10 0.123644E-11
  476 0.422309E-10 0.141078E-11
  478 0.415047E-10 0.147190E-11
  480 0.407796E-10 0.134056E-11
  482 0.400007E-10 0.112592E-11
  484 0.393957E-10 0.105444E-11
  486 0.389218E-10 0.117215E-11
  488 0.387488E-10 0.128610E-11
  490 0.388886E-10 0.125978E-11
  492 0.393059E-10 0.110420E-11
  494 0.398140E-10 0.943808E-12
  496 0.402861E-10 0.926524E-12
  498 0.406470E-10 0.102783E-11
  500 0.407719E-10 0.110120E-11
  502 0.404540E-10 0.106259E-11
  504 0.399070E-10 0.933203E-12
  506 0.391034E-10 0.799872E-12
  508 0.382207E-10 0.769066E-12
  510 0.374316E-10 0.838125E-12
  512 0.368200E-10 0.905584E-12
  514 0.365031E-10 0.902094E-12
  516 0.365057E-10 0.821077E-12
  518 0.367766E-10 0.707172E-12
  520 0.371609E-10 0.634931E-12
  522 0.376718E-10 0.651614E-12
  524 0.381626E-10 0.715240E-12
  526 0.384862E-10 0.757128E-12
  528 0.386402E-10 0.744242E-12
  530 0.386087E-10 0.680009E-12
  532 0.383203E-10 0.595310E-12
  534 0.379052E-10 0.539987E-12
  536 0.375006E-10 0.544918E-12
  538 0.371011E-10 0.588472E-12
  540 0.367436E-10 0.626867E-12
  542 0.365459E-10 0.633454E-12
  544 0.365287E-10 0.602953E-12
  546 0.365508E-10 0.545920E-12
  548 0.366803E-10 0.489109E-12
  550 0.368709E-10 0.459105E-12
  552 0.370905E-10 0.465735E-12
  554 0.371607E-10 0.492043E-12
  556 0.372243E-10 0.516953E-12
  558 0.371865E-10 0.524314E-12
  560 0.370236E-10 0.510042E-12
  562 0.367850E-10 0.480258E-12
  564 0.365132E-10 0.447004E-12
  566 0.362574E-10 0.423880E-12
  568 0.360178E-10 0.418662E-12
  570 0.359102E-10 0.430204E-12
  572 0.359254E-10 0.448338E-12
  574 0.359031E-10 0.460504E-12
  576 0.358926E-10 0.461016E-12
  578 0.357966E-10 0.447822E-12
  580 0.357007E-10 0.425743E-12
  582 0.355134E-10 0.400008E-12
  584 0.352082E-10 0.376882E-12
  586 0.349866E-10 0.362624E-12
  588 0.347646E-10 0.356604E-12
  590 0.346190E-10 0.356844E-12
  592 0.346338E-10 0.360387E-12
  594 0.345544E-10 0.361459E-12
  596 0.344884E-10 0.359534E-12
  598 0.345435E-10 0.355630E-12
  600 0.346149E-10 0.349719E-12
  602 0.346716E-10 0.343227E-12
  604 0.346196E-10 0.337020E-12
  606 0.345058E-10 0.332738E-12
  608 0.342976E-10 0.330182E-12
  610 0.340490E-10 0.328970E-12
  612 0.337883E-10 0.327917E-12
  614 0.335138E-10 0.325595E-12
  616 0.332340E-10 0.321162E-12
  618 0.330141E-10 0.314986E-12
  620 0.327115E-10 0.306056E-12
  622 0.325290E-10 0.297030E-12
  624 0.325743E-10 0.289691E-12
  626 0.326303E-10 0.282822E-12
  628 0.327484E-10 0.277464E-12
  630 0.329072E-10 0.273744E-12
  632 0.330083E-10 0.270941E-12
  634 0.331356E-10 0.269702E-12
  636 0.329850E-10 0.252293E-12
  638 0.321338E-10 0.311841E-12
  640 0.313428E-10 0.440120E-12
  642 0.314250E-10 0.615229E-12
  644 0.316842E-10 0.708587E-12
  646 0.317086E-10 0.681683E-12
  648 0.315331E-10 0.649091E-12
  650 0.312601E-10 0.634520E-12
  652 0.308778E-10 0.613168E-12
  654 0.304936E-10 0.580113E-12
  656 0.302305E-10 0.563017E-12
  658 0.302038E-10 0.553043E-12
  660 0.304363E-10 0.522235E-12
  662 0.307922E-10 0.489436E-12
  664 0.310778E-10 0.478488E-12
  666 0.311385E-10 0.462548E-12
  668 0.310373E-10 0.431206E-12
  670 0.308598E-10 0.418121E-12
  672 0.306386E-10 0.421467E-12
  674 0.304347E-10 0.402454E-12
  676 0.303805E-10 0.371298E-12
  678 0.303269E-10 0.365818E-12
  680 0.302739E-10 0.369700E-12
  682 0.302119E-10 0.348825E-12
  684 0.300863E-10 0.325224E-12
  686 0.299247E-10 0.329607E-12
  688 0.297691E-10 0.331735E-12
  690 0.296033E-10 0.307396E-12
  692 0.293805E-10 0.287869E-12
  694 0.292222E-10 0.295642E-12
  696 0.290123E-10 0.295158E-12
  698 0.287848E-10 0.271672E-12
  700 0.285330E-10 0.257434E-12
  702 0.283802E-10 0.266618E-12
  704 0.281895E-10 0.265355E-12
  706 0.280471E-10 0.245016E-12
  708 0.279794E-10 0.234699E-12
  710 0.278612E-10 0.242863E-12
  712 0.277270E-10 0.242724E-12
  714 0.275878E-10 0.226149E-12
  716 0.274763E-10 0.215423E-12
  718 0.273693E-10 0.220200E-12
  720 0.272093E-10 0.221396E-12
  722 0.271327E-10 0.211486E-12
  724 0.269688E-10 0.202118E-12
  726 0.267902E-10 0.202603E-12
  728 0.266652E-10 0.204342E-12
  730 0.264841E-10 0.198886E-12
  732 0.262505E-10 0.190075E-12
  734 0.260334E-10 0.184312E-12
  736 0.258896E-10 0.182910E-12
  738 0.257333E-10 0.183203E-12
  740 0.255984E-10 0.181928E-12
  742 0.255167E-10 0.176687E-12
  744 0.254271E-10 0.170943E-12
  746 0.253590E-10 0.172311E-12
  748 0.252854E-10 0.177686E-12
  750 0.252877E-10 0.176297E-12
  752 0.252556E-10 0.166517E-12
  754 0.252845E-10 0.163934E-12
  756 0.252481E-10 0.174700E-12
  758 0.252311E-10 0.182461E-12
  760 0.252062E-10 0.172632E-12
  762 0.250867E-10 0.154923E-12
  764 0.249333E-10 0.156364E-12
  766 0.247646E-10 0.175764E-12
  768 0.245681E-10 0.184044E-12
  770 0.244199E-10 0.169463E-12
  772 0.242252E-10 0.149975E-12
  774 0.240420E-10 0.156350E-12
  776 0.239260E-10 0.179403E-12
  778 0.238511E-10 0.187040E-12
  780 0.238027E-10 0.170332E-12
  782 0.237164E-10 0.149690E-12
  784 0.237067E-10 0.154808E-12
