# Model SED for star alfCenB                         
# Spectral template: K1V_HD56298_GaiaDR3_spec.dat    
# Adjusted Vmag(template)= 6.713 to Vmag(target)= 1.340
 # lam(nm) Flux(W/m2/nm) unc_Flux(W/m2/nm)
  336 0.468015E-11 0.325041E-12
  338 0.478214E-11 0.254314E-12
  340 0.442098E-11 0.209262E-12
  342 0.393106E-11 0.191361E-12
  344 0.368878E-11 0.182218E-12
  346 0.355194E-11 0.186887E-12
  348 0.347155E-11 0.198437E-12
  350 0.369242E-11 0.218192E-12
  352 0.433865E-11 0.244612E-12
  354 0.464380E-11 0.267873E-12
  356 0.387009E-11 0.258048E-12
  358 0.304300E-11 0.236936E-12
  360 0.313836E-11 0.219106E-12
  362 0.375247E-11 0.224901E-12
  364 0.423870E-11 0.222421E-12
  366 0.449712E-11 0.247988E-12
  368 0.475275E-11 0.256465E-12
  370 0.484493E-11 0.286253E-12
  372 0.436287E-11 0.300699E-12
  374 0.343571E-11 0.324365E-12
  376 0.287221E-11 0.354258E-12
  378 0.321770E-11 0.377595E-12
  380 0.373723E-11 0.407415E-12
  382 0.327020E-11 0.410159E-12
  384 0.203496E-11 0.413452E-12
  386 0.145036E-11 0.383417E-12
  388 0.219650E-11 0.363319E-12
  390 0.344093E-11 0.333882E-12
  392 0.411735E-11 0.289828E-12
  394 0.407422E-11 0.285345E-12
  396 0.399716E-11 0.261834E-12
  398 0.455009E-11 0.235236E-12
  400 0.573459E-11 0.246956E-12
  402 0.699192E-11 0.232787E-12
  404 0.766446E-11 0.211543E-12
  406 0.761797E-11 0.230436E-12
  408 0.723029E-11 0.225695E-12
  410 0.701734E-11 0.200838E-12
  412 0.721381E-11 0.217298E-12
  414 0.766158E-11 0.227079E-12
  416 0.792482E-11 0.200135E-12
  418 0.773673E-11 0.200878E-12
  420 0.717192E-11 0.225136E-12
  422 0.657942E-11 0.211442E-12
  424 0.632747E-11 0.187199E-12
  426 0.656229E-11 0.205536E-12
  428 0.710670E-11 0.218408E-12
  430 0.766885E-11 0.193987E-12
  432 0.800252E-11 0.178528E-12
  434 0.806309E-11 0.198951E-12
  436 0.802715E-11 0.204805E-12
  438 0.813211E-11 0.180365E-12
  440 0.848816E-11 0.166973E-12
  442 0.907986E-11 0.184132E-12
  444 0.975612E-11 0.190786E-12
  446 0.103384E-10 0.171007E-12
  448 0.107083E-10 0.153951E-12
  450 0.108551E-10 0.163518E-12
  452 0.108743E-10 0.174164E-12
  454 0.108888E-10 0.163786E-12
  456 0.109749E-10 0.144121E-12
  458 0.111646E-10 0.140924E-12
  460 0.113840E-10 0.150871E-12
  462 0.115662E-10 0.151658E-12
  464 0.116453E-10 0.138137E-12
  466 0.115868E-10 0.124487E-12
  468 0.114684E-10 0.124547E-12
  470 0.113189E-10 0.130191E-12
  472 0.112258E-10 0.128183E-12
  474 0.112283E-10 0.117386E-12
  476 0.113125E-10 0.107109E-12
  478 0.114342E-10 0.105150E-12
  480 0.115567E-10 0.107842E-12
  482 0.115900E-10 0.106844E-12
  484 0.115433E-10 0.100553E-12
  486 0.113807E-10 0.928799E-13
  488 0.111648E-10 0.890138E-13
  490 0.109421E-10 0.888842E-13
  492 0.107617E-10 0.886613E-13
  494 0.106306E-10 0.857580E-13
  496 0.105595E-10 0.811263E-13
  498 0.105490E-10 0.773646E-13
  500 0.105633E-10 0.756920E-13
  502 0.105269E-10 0.748896E-13
  504 0.104632E-10 0.737476E-13
  506 0.103320E-10 0.715201E-13
  508 0.101537E-10 0.689178E-13
  510 0.996006E-11 0.668613E-13
  512 0.977342E-11 0.655488E-13
  514 0.963710E-11 0.646904E-13
  516 0.957779E-11 0.638639E-13
  518 0.960468E-11 0.629221E-13
  520 0.969708E-11 0.618356E-13
  522 0.987131E-11 0.608478E-13
  524 0.100933E-10 0.598067E-13
  526 0.103198E-10 0.585872E-13
  528 0.105385E-10 0.574563E-13
  530 0.107289E-10 0.567415E-13
  532 0.108525E-10 0.564912E-13
  534 0.109273E-10 0.566308E-13
  536 0.109782E-10 0.567818E-13
  538 0.109937E-10 0.563861E-13
  540 0.109799E-10 0.552994E-13
  542 0.109729E-10 0.539447E-13
  544 0.109852E-10 0.528619E-13
  546 0.109840E-10 0.522766E-13
  548 0.110010E-10 0.523408E-13
  550 0.110335E-10 0.526648E-13
  552 0.110817E-10 0.527795E-13
  554 0.110996E-10 0.522081E-13
  556 0.111339E-10 0.512700E-13
  558 0.111578E-10 0.502383E-13
  560 0.111629E-10 0.495726E-13
  562 0.111607E-10 0.496314E-13
  564 0.111592E-10 0.503765E-13
  566 0.111681E-10 0.514402E-13
  568 0.111819E-10 0.522767E-13
  570 0.112317E-10 0.526382E-13
  572 0.113106E-10 0.523658E-13
  574 0.113653E-10 0.513739E-13
  576 0.114093E-10 0.501080E-13
  578 0.114117E-10 0.488666E-13
  580 0.114013E-10 0.480649E-13
  582 0.113514E-10 0.476159E-13
  584 0.112568E-10 0.472919E-13
  586 0.111854E-10 0.470854E-13
  588 0.111133E-10 0.466674E-13
  590 0.110674E-10 0.460611E-13
  592 0.110765E-10 0.454400E-13
  594 0.110604E-10 0.446415E-13
  596 0.110540E-10 0.440324E-13
  598 0.110920E-10 0.439434E-13
  600 0.111405E-10 0.443368E-13
  602 0.111890E-10 0.451337E-13
  604 0.112058E-10 0.460460E-13
  606 0.112046E-10 0.469001E-13
  608 0.111729E-10 0.474268E-13
  610 0.111266E-10 0.475464E-13
  612 0.110736E-10 0.472473E-13
  614 0.110120E-10 0.465776E-13
  616 0.109441E-10 0.456766E-13
  618 0.108908E-10 0.447953E-13
  620 0.108054E-10 0.438901E-13
  622 0.107552E-10 0.433353E-13
  624 0.107766E-10 0.433060E-13
  626 0.107987E-10 0.434900E-13
  628 0.108392E-10 0.438986E-13
  630 0.108918E-10 0.444381E-13
  632 0.109247E-10 0.449241E-13
  634 0.109662E-10 0.454453E-13
  636 0.109775E-10 0.432792E-13
  638 0.107639E-10 0.556736E-13
  640 0.104215E-10 0.802318E-13
  642 0.102565E-10 0.113344E-12
  644 0.102493E-10 0.132477E-12
  646 0.103861E-10 0.129052E-12
  648 0.105523E-10 0.123009E-12
  650 0.106476E-10 0.119677E-12
  652 0.105931E-10 0.115971E-12
  654 0.104375E-10 0.110736E-12
  656 0.102939E-10 0.107487E-12
  658 0.102713E-10 0.104757E-12
  660 0.103951E-10 0.996198E-13
  662 0.105793E-10 0.954994E-13
  664 0.106988E-10 0.937747E-13
  666 0.106701E-10 0.898467E-13
  668 0.105362E-10 0.847777E-13
  670 0.103831E-10 0.833624E-13
  672 0.102760E-10 0.822953E-13
  674 0.102504E-10 0.775207E-13
  676 0.103195E-10 0.742036E-13
  678 0.103786E-10 0.748874E-13
  680 0.103853E-10 0.734597E-13
  682 0.103306E-10 0.689054E-13
  684 0.102253E-10 0.678588E-13
  686 0.101203E-10 0.694793E-13
  688 0.100565E-10 0.670136E-13
  690 0.100256E-10 0.627976E-13
  692 0.998723E-11 0.633749E-13
  694 0.995709E-11 0.651788E-13
  696 0.988779E-11 0.623874E-13
  698 0.980424E-11 0.592400E-13
  700 0.972707E-11 0.603887E-13
  702 0.971236E-11 0.612450E-13
  704 0.970653E-11 0.583022E-13
  706 0.971383E-11 0.566295E-13
  708 0.971526E-11 0.585699E-13
  710 0.965350E-11 0.588861E-13
  712 0.955053E-11 0.564515E-13
  714 0.943933E-11 0.557978E-13
  716 0.936398E-11 0.572608E-13
  718 0.933613E-11 0.566484E-13
  720 0.933283E-11 0.547414E-13
  722 0.937810E-11 0.557581E-13
  724 0.938425E-11 0.570015E-13
  726 0.935657E-11 0.544013E-13
  728 0.931735E-11 0.513732E-13
  730 0.924262E-11 0.534638E-13
  732 0.915406E-11 0.564700E-13
  734 0.908960E-11 0.537897E-13
  736 0.906968E-11 0.484663E-13
  738 0.905241E-11 0.494688E-13
  740 0.903342E-11 0.547814E-13
  742 0.901280E-11 0.547624E-13
  744 0.896897E-11 0.486561E-13
  746 0.892277E-11 0.464432E-13
  748 0.887936E-11 0.519978E-13
  750 0.887772E-11 0.551981E-13
  752 0.887946E-11 0.502691E-13
  754 0.890860E-11 0.443938E-13
  756 0.890722E-11 0.476011E-13
  758 0.889599E-11 0.540914E-13
  760 0.886638E-11 0.534379E-13
  762 0.880045E-11 0.460006E-13
  764 0.873822E-11 0.428069E-13
  766 0.870254E-11 0.488577E-13
  768 0.869460E-11 0.535918E-13
  770 0.873232E-11 0.504998E-13
  772 0.876028E-11 0.439458E-13
  774 0.877207E-11 0.443949E-13
  776 0.876621E-11 0.507875E-13
  778 0.872477E-11 0.529813E-13
  780 0.865042E-11 0.479598E-13
  782 0.854145E-11 0.423097E-13
  784 0.846631E-11 0.447928E-13
  786 0.840435E-11 0.509513E-13
  788 0.836698E-11 0.520677E-13
  790 0.835802E-11 0.470404E-13
  792 0.835568E-11 0.423900E-13
  794 0.835809E-11 0.445219E-13
  796 0.834600E-11 0.492584E-13
  798 0.829728E-11 0.498451E-13
  800 0.824166E-11 0.460480E-13
  802 0.816773E-11 0.429056E-13
  804 0.809382E-11 0.444508E-13
  806 0.805354E-11 0.476694E-13
  808 0.802143E-11 0.479124E-13
  810 0.800123E-11 0.452795E-13
