# Model SED for star xi Boo A = HD 131156A = GJ 566 A                      
# Spectral template: G7V_HD111395_GaiaDR3_spec.dat   
# Adjusted Vmag(template)= 6.292 to Vmag(target)= 4.670
#lam(nm) Flux(W/m2/nm) unc_Flux(W/m2/nm)
  336 0.305529E-12 0.303432E-13
  338 0.307337E-12 0.251857E-13
  340 0.274393E-12 0.218000E-13
  342 0.250456E-12 0.208400E-13
  344 0.251422E-12 0.209809E-13
  346 0.245147E-12 0.219105E-13
  348 0.223452E-12 0.238836E-13
  350 0.223878E-12 0.270849E-13
  352 0.274686E-12 0.305587E-13
  354 0.318645E-12 0.340750E-13
  356 0.283564E-12 0.332799E-13
  358 0.231314E-12 0.301753E-13
  360 0.233969E-12 0.286099E-13
  362 0.262579E-12 0.282193E-13
  364 0.275125E-12 0.288122E-13
  366 0.277739E-12 0.307924E-13
  368 0.299917E-12 0.324718E-13
  370 0.330334E-12 0.355709E-13
  372 0.324214E-12 0.371260E-13
  374 0.275081E-12 0.403995E-13
  376 0.235921E-12 0.436000E-13
  378 0.254414E-12 0.462551E-13
  380 0.294785E-12 0.502219E-13
  382 0.284892E-12 0.506260E-13
  384 0.228433E-12 0.500818E-13
  386 0.197661E-12 0.481303E-13
  388 0.225317E-12 0.442140E-13
  390 0.267267E-12 0.403058E-13
  392 0.276891E-12 0.368296E-13
  394 0.259824E-12 0.340330E-13
  396 0.259461E-12 0.315704E-13
  398 0.305002E-12 0.299792E-13
  400 0.382180E-12 0.289628E-13
  402 0.450505E-12 0.276648E-13
  404 0.474654E-12 0.269710E-13
  406 0.457714E-12 0.267943E-13
  408 0.431070E-12 0.259253E-13
  410 0.426210E-12 0.254680E-13
  412 0.450532E-12 0.256381E-13
  414 0.486733E-12 0.250679E-13
  416 0.505068E-12 0.244831E-13
  418 0.491494E-12 0.248415E-13
  420 0.454725E-12 0.245832E-13
  422 0.417966E-12 0.236489E-13
  424 0.401782E-12 0.237390E-13
  426 0.411297E-12 0.240098E-13
  428 0.433384E-12 0.229449E-13
  430 0.451685E-12 0.221091E-13
  432 0.455685E-12 0.226233E-13
  434 0.447561E-12 0.225098E-13
  436 0.440244E-12 0.210498E-13
  438 0.446538E-12 0.203782E-13
  440 0.469049E-12 0.210819E-13
  442 0.502256E-12 0.209448E-13
  444 0.534495E-12 0.193326E-13
  446 0.555491E-12 0.184053E-13
  448 0.561152E-12 0.191352E-13
  450 0.554755E-12 0.193923E-13
  452 0.544966E-12 0.179843E-13
  454 0.540103E-12 0.165037E-13
  456 0.543767E-12 0.167582E-13
  458 0.555447E-12 0.175404E-13
  460 0.568704E-12 0.168673E-13
  462 0.578108E-12 0.150477E-13
  464 0.579765E-12 0.141384E-13
  466 0.572790E-12 0.148330E-13
  468 0.562712E-12 0.153706E-13
  470 0.552561E-12 0.144005E-13
  472 0.547453E-12 0.126181E-13
  474 0.549029E-12 0.118425E-13
