# Model SED for star xi Boo B = HD 131156B = GJ 566B
# Spectral template: K5V_61CygA_GaiaDR3_spec.dat
# Adjusted Vmag(template)=5.234 to Vmag(target)=6.820
#lam(nm) Flux(W/m2/nm) unc_Flux(W/m2/nm)
  336 0.223009E-13 0.257763E-14
  338 0.213307E-13 0.193209E-14
  340 0.189042E-13 0.158525E-14
  342 0.148601E-13 0.138045E-14
  344 0.130317E-13 0.130231E-14
  346 0.148582E-13 0.127956E-14
  348 0.175067E-13 0.135022E-14
  350 0.177466E-13 0.141833E-14
  352 0.173123E-13 0.156828E-14
  354 0.184724E-13 0.164197E-14
  356 0.179599E-13 0.157603E-14
  358 0.141322E-13 0.140363E-14
  360 0.113124E-13 0.128498E-14
  362 0.120634E-13 0.129361E-14
  364 0.150060E-13 0.125559E-14
  366 0.167009E-13 0.139790E-14
  368 0.158504E-13 0.138744E-14
  370 0.140902E-13 0.157830E-14
  372 0.129090E-13 0.158385E-14
  374 0.116960E-13 0.171825E-14
  376 0.101812E-13 0.189062E-14
  378 0.100796E-13 0.189171E-14
  380 0.117295E-13 0.216627E-14
  382 0.121757E-13 0.206826E-14
  384 0.939718E-14 0.206422E-14
  386 0.615323E-14 0.202303E-14
  388 0.641640E-14 0.173995E-14
  390 0.983267E-14 0.166766E-14
  392 0.128026E-13 0.149824E-14
  394 0.132018E-13 0.133075E-14
  396 0.124878E-13 0.129865E-14
  398 0.136170E-13 0.119784E-14
  400 0.178240E-13 0.113625E-14
  402 0.235651E-13 0.113521E-14
  404 0.277892E-13 0.107854E-14
  406 0.289056E-13 0.105138E-14
  408 0.278218E-13 0.105825E-14
  410 0.268899E-13 0.103606E-14
  412 0.277884E-13 0.102746E-14
  414 0.302640E-13 0.103131E-14
  416 0.322138E-13 0.101457E-14
  418 0.317938E-13 0.101662E-14
  420 0.288311E-13 0.102173E-14
  422 0.250334E-13 0.996830E-15
  424 0.228252E-13 0.994638E-15
  426 0.237426E-13 0.101936E-14
  428 0.274218E-13 0.997042E-15
  430 0.322327E-13 0.957754E-15
  432 0.362686E-13 0.975956E-15
  434 0.385122E-13 0.996720E-15
  436 0.393678E-13 0.953562E-15
  438 0.400711E-13 0.910506E-15
  440 0.416244E-13 0.934064E-15
  442 0.445069E-13 0.955629E-15
  444 0.483449E-13 0.910379E-15
  446 0.523222E-13 0.857496E-15
  448 0.556700E-13 0.870919E-15
  450 0.580530E-13 0.899499E-15
  452 0.597217E-13 0.870939E-15
  454 0.611877E-13 0.811842E-15
  456 0.628270E-13 0.797112E-15
  458 0.648472E-13 0.822528E-15
  460 0.668567E-13 0.816990E-15
  462 0.684570E-13 0.765638E-15
  464 0.692003E-13 0.721968E-15
  466 0.687909E-13 0.724325E-15
  468 0.676263E-13 0.739454E-15
  470 0.658869E-13 0.718156E-15
  472 0.641950E-13 0.668476E-15
  474 0.629640E-13 0.635470E-15
  476 0.623258E-13 0.638612E-15
  478 0.622100E-13 0.646905E-15
  480 0.625062E-13 0.630101E-15
  482 0.627198E-13 0.591460E-15
  484 0.628109E-13 0.563442E-15
  486 0.624333E-13 0.560633E-15
  488 0.617474E-13 0.567369E-15
  490 0.608313E-13 0.559617E-15
  492 0.598089E-13 0.534369E-15
  494 0.586259E-13 0.507352E-15
  496 0.573138E-13 0.495352E-15
  498 0.559175E-13 0.496818E-15
  500 0.543403E-13 0.496219E-15
  502 0.523403E-13 0.482536E-15
  504 0.502170E-13 0.463064E-15
  506 0.479660E-13 0.448618E-15
  508 0.458785E-13 0.445845E-15
  510 0.442672E-13 0.449218E-15
  512 0.433520E-13 0.448240E-15
  514 0.433766E-13 0.439325E-15
  516 0.444316E-13 0.426859E-15
  518 0.464534E-13 0.418381E-15
  520 0.491726E-13 0.416695E-15
  522 0.524737E-13 0.419770E-15
  524 0.559962E-13 0.421027E-15
  526 0.593446E-13 0.416777E-15
  528 0.623375E-13 0.409681E-15
  530 0.648034E-13 0.404610E-15
  532 0.665076E-13 0.403839E-15
  534 0.676011E-13 0.406968E-15
  536 0.683130E-13 0.410350E-15
  538 0.686647E-13 0.409319E-15
  540 0.687869E-13 0.402992E-15
  542 0.689894E-13 0.395033E-15
  544 0.694139E-13 0.389664E-15
  546 0.698902E-13 0.388067E-15
  548 0.706290E-13 0.390504E-15
  550 0.716002E-13 0.393618E-15
  552 0.727741E-13 0.394186E-15
  554 0.738050E-13 0.389383E-15
  556 0.749550E-13 0.382274E-15
  558 0.760017E-13 0.375076E-15
  560 0.768490E-13 0.370701E-15
  562 0.775463E-13 0.370898E-15
  564 0.781334E-13 0.374694E-15
  566 0.786727E-13 0.379394E-15
  568 0.791313E-13 0.381684E-15
  570 0.797419E-13 0.380784E-15
  572 0.804784E-13 0.376529E-15
  574 0.809845E-13 0.368954E-15
  576 0.813824E-13 0.361259E-15
  578 0.814752E-13 0.354787E-15
  580 0.814874E-13 0.351238E-15
  582 0.812438E-13 0.348850E-15
  584 0.807140E-13 0.345551E-15
  586 0.803852E-13 0.341633E-15
  588 0.800851E-13 0.335441E-15
  590 0.800033E-13 0.327940E-15
  592 0.803424E-13 0.320989E-15
  594 0.805154E-13 0.313789E-15
  596 0.807688E-13 0.308911E-15
  598 0.813513E-13 0.308284E-15
  600 0.820116E-13 0.311011E-15
  602 0.826670E-13 0.315926E-15
  604 0.830810E-13 0.320653E-15
  606 0.833503E-13 0.323989E-15
  608 0.833815E-13 0.324380E-15
  610 0.832933E-13 0.321766E-15
  612 0.831452E-13 0.316585E-15
  614 0.829275E-13 0.309581E-15
  616 0.826591E-13 0.301902E-15
  618 0.825036E-13 0.295156E-15
  620 0.821083E-13 0.288743E-15
  622 0.819868E-13 0.284646E-15
  624 0.824217E-13 0.283519E-15
  626 0.828745E-13 0.282952E-15
  628 0.834827E-13 0.282868E-15
  630 0.841988E-13 0.282715E-15
  632 0.847766E-13 0.281551E-15
  634 0.854344E-13 0.280294E-15
  636 0.854103E-13 0.268782E-15
  638 0.833396E-13 0.371483E-15
  640 0.810326E-13 0.554121E-15
  642 0.807603E-13 0.790399E-15
  644 0.815242E-13 0.914823E-15
  646 0.826311E-13 0.886890E-15
  648 0.837649E-13 0.848452E-15
  650 0.848647E-13 0.824553E-15
  652 0.855477E-13 0.796542E-15
  654 0.858333E-13 0.761848E-15
  656 0.859196E-13 0.739501E-15
  658 0.861279E-13 0.718942E-15
  660 0.866217E-13 0.684088E-15
  662 0.871567E-13 0.654432E-15
  664 0.873286E-13 0.638476E-15
  666 0.868443E-13 0.611458E-15
  668 0.860100E-13 0.577874E-15
  670 0.851554E-13 0.562828E-15
  672 0.843844E-13 0.550425E-15
  674 0.837797E-13 0.520096E-15
  676 0.835555E-13 0.498864E-15
  678 0.831727E-13 0.497953E-15
  680 0.826140E-13 0.484597E-15
  682 0.819805E-13 0.455242E-15
  684 0.813499E-13 0.447021E-15
  686 0.810109E-13 0.453177E-15
  688 0.811641E-13 0.435525E-15
  690 0.816772E-13 0.410005E-15
  692 0.822022E-13 0.412681E-15
  694 0.828395E-13 0.417675E-15
  696 0.831092E-13 0.392810E-15
  698 0.830742E-13 0.373961E-15
  700 0.827772E-13 0.388814E-15
  702 0.826597E-13 0.393490E-15
  704 0.823646E-13 0.364029E-15
  706 0.821245E-13 0.350624E-15
  708 0.819783E-13 0.374925E-15
  710 0.815588E-13 0.380032E-15
  712 0.810438E-13 0.348364E-15
  714 0.806038E-13 0.334611E-15
  716 0.804750E-13 0.360729E-15
  718 0.806591E-13 0.368172E-15
  720 0.809388E-13 0.336577E-15
  722 0.815716E-13 0.322457E-15
  724 0.818649E-13 0.349528E-15
  726 0.819011E-13 0.360581E-15
  728 0.818620E-13 0.331259E-15
  730 0.814886E-13 0.311803E-15
  732 0.809257E-13 0.339764E-15
  734 0.805029E-13 0.360977E-15
  736 0.804429E-13 0.335693E-15
  738 0.804386E-13 0.299672E-15
  740 0.804980E-13 0.314247E-15
  742 0.806224E-13 0.350176E-15
  744 0.805685E-13 0.346646E-15
  746 0.804457E-13 0.308645E-15
  748 0.802381E-13 0.295715E-15
  750 0.802856E-13 0.327446E-15
  752 0.802888E-13 0.347008E-15
  754 0.805492E-13 0.326673E-15
  756 0.806220E-13 0.295229E-15
  758 0.807269E-13 0.299660E-15
  760 0.807564E-13 0.325746E-15
  762 0.804636E-13 0.329397E-15
  764 0.801159E-13 0.305718E-15
  766 0.798554E-13 0.287011E-15
  768 0.796881E-13 0.297125E-15
  770 0.798386E-13 0.316868E-15
  772 0.799018E-13 0.318679E-15
  774 0.799209E-13 0.304529E-15
  776 0.799411E-13 0.295348E-15
  778 0.797947E-13 0.301815E-15
  780 0.794439E-13 0.313289E-15
  782 0.787810E-13 0.315831E-15
  784 0.783564E-13 0.310100E-15
  786 0.779444E-13 0.303185E-15
  788 0.776728E-13 0.303909E-15
  790 0.776464E-13 0.313447E-15
  792 0.777467E-13 0.323517E-15
  794 0.780160E-13 0.324321E-15
  796 0.782831E-13 0.311877E-15
  798 0.782887E-13 0.294336E-15
  800 0.782194E-13 0.289105E-15
  802 0.778644E-13 0.300370E-15
  804 0.773237E-13 0.313299E-15
  806 0.769002E-13 0.312699E-15
  808 0.763966E-13 0.297843E-15
  810 0.759434E-13 0.285716E-15
  812 0.756516E-13 0.290219E-15
  814 0.752348E-13 0.301310E-15
  816 0.753012E-13 0.303009E-15
  818 0.752178E-13 0.288975E-15
  820 0.752843E-13 0.277328E-15
  822 0.751434E-13 0.286080E-15
  824 0.749777E-13 0.308892E-15
  826 0.749273E-13 0.321218E-15
  828 0.747697E-13 0.308135E-15
  830 0.744946E-13 0.279929E-15
  832 0.742141E-13 0.267066E-15
  834 0.737400E-13 0.286378E-15
  836 0.733075E-13 0.317682E-15
  838 0.730886E-13 0.332683E-15
  840 0.725914E-13 0.319905E-15
  842 0.722026E-13 0.295108E-15
  844 0.714568E-13 0.283145E-15
  846 0.712699E-13 0.299151E-15
  848 0.710780E-13 0.323309E-15
  850 0.709515E-13 0.334612E-15
  852 0.706122E-13 0.327198E-15
  854 0.704639E-13 0.315030E-15
  856 0.703352E-13 0.312949E-15
  858 0.703523E-13 0.323662E-15
  860 0.702224E-13 0.333890E-15
  862 0.700461E-13 0.334142E-15
  864 0.700495E-13 0.327946E-15
  866 0.701096E-13 0.326182E-15
  868 0.706623E-13 0.338033E-15
  870 0.704736E-13 0.351035E-15
  872 0.709692E-13 0.359555E-15
  874 0.711712E-13 0.353607E-15
  876 0.715291E-13 0.342989E-15
