shard_name,shard_mode,source_config_path,config_path,expected_run_root,condition_label,m1_sigma_nm,m2_sigma_nm,draw_start,draw_stop,draw_index,expected_subblocks,expected_windows,expected_subblocks_per_window,expected_n_theta,recommended_time,recommended_cpus_per_task,recommended_mem,recommended_max_workers,sbatch_command
ff_targetreg_no_ke_hardlo_61_CYG_n10_w10x30_v1_cond_m1_1p0nm_m2_1p0nm_draw_000,draw,examples/recipes/full_fidelity_algorithm_campaign_template/target_registry_no_ke_hardloworder/ff_targetreg_no_ke_hardlo_61_CYG_n10_w10x30_v1.yaml,work/full_fidelity_target_registry_no_ke_hardloworder_n10_w10x30_projected_30min_v1_shards/61_CYG/configs/ff_targetreg_no_ke_hardlo_61_CYG_n10_w10x30_v1_cond_m1_1p0nm_m2_1p0nm_draw_000.yaml,/projects/shera_hpc/dmckeith/dLuxShera-Results/observation_bias_campaign/ff_targetreg_no_ke_hardlo_61_CYG_n10_w10x30_v1_cond_m1_1p0nm_m2_1p0nm_draw_000,m1_1p0nm_m2_1p0nm,1.0,1.0,0,1,0,300,10,30,20,5-00:00:00,10,250G,10,"sbatch --time=5-00:00:00 --cpus-per-task=10 --mem=250G --job-name=ff-m1_1p0nm_m2_1p0nm-d000 --output=""$RESULTS_ROOT/slurm_logs/%x-%j.out"" --error=""$RESULTS_ROOT/slurm_logs/%x-%j.err"" --export=ALL,RESULTS_ROOT=/projects/shera_hpc/dmckeith/dLuxShera-Results,CONFIG=work/full_fidelity_target_registry_no_ke_hardloworder_n10_w10x30_projected_30min_v1_shards/61_CYG/configs/ff_targetreg_no_ke_hardlo_61_CYG_n10_w10x30_v1_cond_m1_1p0nm_m2_1p0nm_draw_000.yaml,RUN_NAME=ff_targetreg_no_ke_hardlo_61_CYG_n10_w10x30_v1_cond_m1_1p0nm_m2_1p0nm_draw_000,MAX_WORKERS=10,FAIL_FAST=1,ANALYZE_AFTER_RUN=1,USE_RESOURCE_TIME=1 examples/recipes/full_fidelity_algorithm_campaign_template/full_fidelity_iterative_campaign_hpc.sbatch"
ff_targetreg_no_ke_hardlo_61_CYG_n10_w10x30_v1_cond_m1_1p0nm_m2_1p0nm_draw_001,draw,examples/recipes/full_fidelity_algorithm_campaign_template/target_registry_no_ke_hardloworder/ff_targetreg_no_ke_hardlo_61_CYG_n10_w10x30_v1.yaml,work/full_fidelity_target_registry_no_ke_hardloworder_n10_w10x30_projected_30min_v1_shards/61_CYG/configs/ff_targetreg_no_ke_hardlo_61_CYG_n10_w10x30_v1_cond_m1_1p0nm_m2_1p0nm_draw_001.yaml,/projects/shera_hpc/dmckeith/dLuxShera-Results/observation_bias_campaign/ff_targetreg_no_ke_hardlo_61_CYG_n10_w10x30_v1_cond_m1_1p0nm_m2_1p0nm_draw_001,m1_1p0nm_m2_1p0nm,1.0,1.0,1,2,1,300,10,30,20,5-00:00:00,10,250G,10,"sbatch --time=5-00:00:00 --cpus-per-task=10 --mem=250G --job-name=ff-m1_1p0nm_m2_1p0nm-d001 --output=""$RESULTS_ROOT/slurm_logs/%x-%j.out"" --error=""$RESULTS_ROOT/slurm_logs/%x-%j.err"" --export=ALL,RESULTS_ROOT=/projects/shera_hpc/dmckeith/dLuxShera-Results,CONFIG=work/full_fidelity_target_registry_no_ke_hardloworder_n10_w10x30_projected_30min_v1_shards/61_CYG/configs/ff_targetreg_no_ke_hardlo_61_CYG_n10_w10x30_v1_cond_m1_1p0nm_m2_1p0nm_draw_001.yaml,RUN_NAME=ff_targetreg_no_ke_hardlo_61_CYG_n10_w10x30_v1_cond_m1_1p0nm_m2_1p0nm_draw_001,MAX_WORKERS=10,FAIL_FAST=1,ANALYZE_AFTER_RUN=1,USE_RESOURCE_TIME=1 examples/recipes/full_fidelity_algorithm_campaign_template/full_fidelity_iterative_campaign_hpc.sbatch"
ff_targetreg_no_ke_hardlo_61_CYG_n10_w10x30_v1_cond_m1_1p0nm_m2_1p0nm_draw_002,draw,examples/recipes/full_fidelity_algorithm_campaign_template/target_registry_no_ke_hardloworder/ff_targetreg_no_ke_hardlo_61_CYG_n10_w10x30_v1.yaml,work/full_fidelity_target_registry_no_ke_hardloworder_n10_w10x30_projected_30min_v1_shards/61_CYG/configs/ff_targetreg_no_ke_hardlo_61_CYG_n10_w10x30_v1_cond_m1_1p0nm_m2_1p0nm_draw_002.yaml,/projects/shera_hpc/dmckeith/dLuxShera-Results/observation_bias_campaign/ff_targetreg_no_ke_hardlo_61_CYG_n10_w10x30_v1_cond_m1_1p0nm_m2_1p0nm_draw_002,m1_1p0nm_m2_1p0nm,1.0,1.0,2,3,2,300,10,30,20,5-00:00:00,10,250G,10,"sbatch --time=5-00:00:00 --cpus-per-task=10 --mem=250G --job-name=ff-m1_1p0nm_m2_1p0nm-d002 --output=""$RESULTS_ROOT/slurm_logs/%x-%j.out"" --error=""$RESULTS_ROOT/slurm_logs/%x-%j.err"" --export=ALL,RESULTS_ROOT=/projects/shera_hpc/dmckeith/dLuxShera-Results,CONFIG=work/full_fidelity_target_registry_no_ke_hardloworder_n10_w10x30_projected_30min_v1_shards/61_CYG/configs/ff_targetreg_no_ke_hardlo_61_CYG_n10_w10x30_v1_cond_m1_1p0nm_m2_1p0nm_draw_002.yaml,RUN_NAME=ff_targetreg_no_ke_hardlo_61_CYG_n10_w10x30_v1_cond_m1_1p0nm_m2_1p0nm_draw_002,MAX_WORKERS=10,FAIL_FAST=1,ANALYZE_AFTER_RUN=1,USE_RESOURCE_TIME=1 examples/recipes/full_fidelity_algorithm_campaign_template/full_fidelity_iterative_campaign_hpc.sbatch"
ff_targetreg_no_ke_hardlo_61_CYG_n10_w10x30_v1_cond_m1_1p0nm_m2_1p0nm_draw_003,draw,examples/recipes/full_fidelity_algorithm_campaign_template/target_registry_no_ke_hardloworder/ff_targetreg_no_ke_hardlo_61_CYG_n10_w10x30_v1.yaml,work/full_fidelity_target_registry_no_ke_hardloworder_n10_w10x30_projected_30min_v1_shards/61_CYG/configs/ff_targetreg_no_ke_hardlo_61_CYG_n10_w10x30_v1_cond_m1_1p0nm_m2_1p0nm_draw_003.yaml,/projects/shera_hpc/dmckeith/dLuxShera-Results/observation_bias_campaign/ff_targetreg_no_ke_hardlo_61_CYG_n10_w10x30_v1_cond_m1_1p0nm_m2_1p0nm_draw_003,m1_1p0nm_m2_1p0nm,1.0,1.0,3,4,3,300,10,30,20,5-00:00:00,10,250G,10,"sbatch --time=5-00:00:00 --cpus-per-task=10 --mem=250G --job-name=ff-m1_1p0nm_m2_1p0nm-d003 --output=""$RESULTS_ROOT/slurm_logs/%x-%j.out"" --error=""$RESULTS_ROOT/slurm_logs/%x-%j.err"" --export=ALL,RESULTS_ROOT=/projects/shera_hpc/dmckeith/dLuxShera-Results,CONFIG=work/full_fidelity_target_registry_no_ke_hardloworder_n10_w10x30_projected_30min_v1_shards/61_CYG/configs/ff_targetreg_no_ke_hardlo_61_CYG_n10_w10x30_v1_cond_m1_1p0nm_m2_1p0nm_draw_003.yaml,RUN_NAME=ff_targetreg_no_ke_hardlo_61_CYG_n10_w10x30_v1_cond_m1_1p0nm_m2_1p0nm_draw_003,MAX_WORKERS=10,FAIL_FAST=1,ANALYZE_AFTER_RUN=1,USE_RESOURCE_TIME=1 examples/recipes/full_fidelity_algorithm_campaign_template/full_fidelity_iterative_campaign_hpc.sbatch"
ff_targetreg_no_ke_hardlo_61_CYG_n10_w10x30_v1_cond_m1_1p0nm_m2_1p0nm_draw_004,draw,examples/recipes/full_fidelity_algorithm_campaign_template/target_registry_no_ke_hardloworder/ff_targetreg_no_ke_hardlo_61_CYG_n10_w10x30_v1.yaml,work/full_fidelity_target_registry_no_ke_hardloworder_n10_w10x30_projected_30min_v1_shards/61_CYG/configs/ff_targetreg_no_ke_hardlo_61_CYG_n10_w10x30_v1_cond_m1_1p0nm_m2_1p0nm_draw_004.yaml,/projects/shera_hpc/dmckeith/dLuxShera-Results/observation_bias_campaign/ff_targetreg_no_ke_hardlo_61_CYG_n10_w10x30_v1_cond_m1_1p0nm_m2_1p0nm_draw_004,m1_1p0nm_m2_1p0nm,1.0,1.0,4,5,4,300,10,30,20,5-00:00:00,10,250G,10,"sbatch --time=5-00:00:00 --cpus-per-task=10 --mem=250G --job-name=ff-m1_1p0nm_m2_1p0nm-d004 --output=""$RESULTS_ROOT/slurm_logs/%x-%j.out"" --error=""$RESULTS_ROOT/slurm_logs/%x-%j.err"" --export=ALL,RESULTS_ROOT=/projects/shera_hpc/dmckeith/dLuxShera-Results,CONFIG=work/full_fidelity_target_registry_no_ke_hardloworder_n10_w10x30_projected_30min_v1_shards/61_CYG/configs/ff_targetreg_no_ke_hardlo_61_CYG_n10_w10x30_v1_cond_m1_1p0nm_m2_1p0nm_draw_004.yaml,RUN_NAME=ff_targetreg_no_ke_hardlo_61_CYG_n10_w10x30_v1_cond_m1_1p0nm_m2_1p0nm_draw_004,MAX_WORKERS=10,FAIL_FAST=1,ANALYZE_AFTER_RUN=1,USE_RESOURCE_TIME=1 examples/recipes/full_fidelity_algorithm_campaign_template/full_fidelity_iterative_campaign_hpc.sbatch"
ff_targetreg_no_ke_hardlo_61_CYG_n10_w10x30_v1_cond_m1_1p0nm_m2_1p0nm_draw_005,draw,examples/recipes/full_fidelity_algorithm_campaign_template/target_registry_no_ke_hardloworder/ff_targetreg_no_ke_hardlo_61_CYG_n10_w10x30_v1.yaml,work/full_fidelity_target_registry_no_ke_hardloworder_n10_w10x30_projected_30min_v1_shards/61_CYG/configs/ff_targetreg_no_ke_hardlo_61_CYG_n10_w10x30_v1_cond_m1_1p0nm_m2_1p0nm_draw_005.yaml,/projects/shera_hpc/dmckeith/dLuxShera-Results/observation_bias_campaign/ff_targetreg_no_ke_hardlo_61_CYG_n10_w10x30_v1_cond_m1_1p0nm_m2_1p0nm_draw_005,m1_1p0nm_m2_1p0nm,1.0,1.0,5,6,5,300,10,30,20,5-00:00:00,10,250G,10,"sbatch --time=5-00:00:00 --cpus-per-task=10 --mem=250G --job-name=ff-m1_1p0nm_m2_1p0nm-d005 --output=""$RESULTS_ROOT/slurm_logs/%x-%j.out"" --error=""$RESULTS_ROOT/slurm_logs/%x-%j.err"" --export=ALL,RESULTS_ROOT=/projects/shera_hpc/dmckeith/dLuxShera-Results,CONFIG=work/full_fidelity_target_registry_no_ke_hardloworder_n10_w10x30_projected_30min_v1_shards/61_CYG/configs/ff_targetreg_no_ke_hardlo_61_CYG_n10_w10x30_v1_cond_m1_1p0nm_m2_1p0nm_draw_005.yaml,RUN_NAME=ff_targetreg_no_ke_hardlo_61_CYG_n10_w10x30_v1_cond_m1_1p0nm_m2_1p0nm_draw_005,MAX_WORKERS=10,FAIL_FAST=1,ANALYZE_AFTER_RUN=1,USE_RESOURCE_TIME=1 examples/recipes/full_fidelity_algorithm_campaign_template/full_fidelity_iterative_campaign_hpc.sbatch"
ff_targetreg_no_ke_hardlo_61_CYG_n10_w10x30_v1_cond_m1_1p0nm_m2_1p0nm_draw_006,draw,examples/recipes/full_fidelity_algorithm_campaign_template/target_registry_no_ke_hardloworder/ff_targetreg_no_ke_hardlo_61_CYG_n10_w10x30_v1.yaml,work/full_fidelity_target_registry_no_ke_hardloworder_n10_w10x30_projected_30min_v1_shards/61_CYG/configs/ff_targetreg_no_ke_hardlo_61_CYG_n10_w10x30_v1_cond_m1_1p0nm_m2_1p0nm_draw_006.yaml,/projects/shera_hpc/dmckeith/dLuxShera-Results/observation_bias_campaign/ff_targetreg_no_ke_hardlo_61_CYG_n10_w10x30_v1_cond_m1_1p0nm_m2_1p0nm_draw_006,m1_1p0nm_m2_1p0nm,1.0,1.0,6,7,6,300,10,30,20,5-00:00:00,10,250G,10,"sbatch --time=5-00:00:00 --cpus-per-task=10 --mem=250G --job-name=ff-m1_1p0nm_m2_1p0nm-d006 --output=""$RESULTS_ROOT/slurm_logs/%x-%j.out"" --error=""$RESULTS_ROOT/slurm_logs/%x-%j.err"" --export=ALL,RESULTS_ROOT=/projects/shera_hpc/dmckeith/dLuxShera-Results,CONFIG=work/full_fidelity_target_registry_no_ke_hardloworder_n10_w10x30_projected_30min_v1_shards/61_CYG/configs/ff_targetreg_no_ke_hardlo_61_CYG_n10_w10x30_v1_cond_m1_1p0nm_m2_1p0nm_draw_006.yaml,RUN_NAME=ff_targetreg_no_ke_hardlo_61_CYG_n10_w10x30_v1_cond_m1_1p0nm_m2_1p0nm_draw_006,MAX_WORKERS=10,FAIL_FAST=1,ANALYZE_AFTER_RUN=1,USE_RESOURCE_TIME=1 examples/recipes/full_fidelity_algorithm_campaign_template/full_fidelity_iterative_campaign_hpc.sbatch"
ff_targetreg_no_ke_hardlo_61_CYG_n10_w10x30_v1_cond_m1_1p0nm_m2_1p0nm_draw_007,draw,examples/recipes/full_fidelity_algorithm_campaign_template/target_registry_no_ke_hardloworder/ff_targetreg_no_ke_hardlo_61_CYG_n10_w10x30_v1.yaml,work/full_fidelity_target_registry_no_ke_hardloworder_n10_w10x30_projected_30min_v1_shards/61_CYG/configs/ff_targetreg_no_ke_hardlo_61_CYG_n10_w10x30_v1_cond_m1_1p0nm_m2_1p0nm_draw_007.yaml,/projects/shera_hpc/dmckeith/dLuxShera-Results/observation_bias_campaign/ff_targetreg_no_ke_hardlo_61_CYG_n10_w10x30_v1_cond_m1_1p0nm_m2_1p0nm_draw_007,m1_1p0nm_m2_1p0nm,1.0,1.0,7,8,7,300,10,30,20,5-00:00:00,10,250G,10,"sbatch --time=5-00:00:00 --cpus-per-task=10 --mem=250G --job-name=ff-m1_1p0nm_m2_1p0nm-d007 --output=""$RESULTS_ROOT/slurm_logs/%x-%j.out"" --error=""$RESULTS_ROOT/slurm_logs/%x-%j.err"" --export=ALL,RESULTS_ROOT=/projects/shera_hpc/dmckeith/dLuxShera-Results,CONFIG=work/full_fidelity_target_registry_no_ke_hardloworder_n10_w10x30_projected_30min_v1_shards/61_CYG/configs/ff_targetreg_no_ke_hardlo_61_CYG_n10_w10x30_v1_cond_m1_1p0nm_m2_1p0nm_draw_007.yaml,RUN_NAME=ff_targetreg_no_ke_hardlo_61_CYG_n10_w10x30_v1_cond_m1_1p0nm_m2_1p0nm_draw_007,MAX_WORKERS=10,FAIL_FAST=1,ANALYZE_AFTER_RUN=1,USE_RESOURCE_TIME=1 examples/recipes/full_fidelity_algorithm_campaign_template/full_fidelity_iterative_campaign_hpc.sbatch"
ff_targetreg_no_ke_hardlo_61_CYG_n10_w10x30_v1_cond_m1_1p0nm_m2_1p0nm_draw_008,draw,examples/recipes/full_fidelity_algorithm_campaign_template/target_registry_no_ke_hardloworder/ff_targetreg_no_ke_hardlo_61_CYG_n10_w10x30_v1.yaml,work/full_fidelity_target_registry_no_ke_hardloworder_n10_w10x30_projected_30min_v1_shards/61_CYG/configs/ff_targetreg_no_ke_hardlo_61_CYG_n10_w10x30_v1_cond_m1_1p0nm_m2_1p0nm_draw_008.yaml,/projects/shera_hpc/dmckeith/dLuxShera-Results/observation_bias_campaign/ff_targetreg_no_ke_hardlo_61_CYG_n10_w10x30_v1_cond_m1_1p0nm_m2_1p0nm_draw_008,m1_1p0nm_m2_1p0nm,1.0,1.0,8,9,8,300,10,30,20,5-00:00:00,10,250G,10,"sbatch --time=5-00:00:00 --cpus-per-task=10 --mem=250G --job-name=ff-m1_1p0nm_m2_1p0nm-d008 --output=""$RESULTS_ROOT/slurm_logs/%x-%j.out"" --error=""$RESULTS_ROOT/slurm_logs/%x-%j.err"" --export=ALL,RESULTS_ROOT=/projects/shera_hpc/dmckeith/dLuxShera-Results,CONFIG=work/full_fidelity_target_registry_no_ke_hardloworder_n10_w10x30_projected_30min_v1_shards/61_CYG/configs/ff_targetreg_no_ke_hardlo_61_CYG_n10_w10x30_v1_cond_m1_1p0nm_m2_1p0nm_draw_008.yaml,RUN_NAME=ff_targetreg_no_ke_hardlo_61_CYG_n10_w10x30_v1_cond_m1_1p0nm_m2_1p0nm_draw_008,MAX_WORKERS=10,FAIL_FAST=1,ANALYZE_AFTER_RUN=1,USE_RESOURCE_TIME=1 examples/recipes/full_fidelity_algorithm_campaign_template/full_fidelity_iterative_campaign_hpc.sbatch"
ff_targetreg_no_ke_hardlo_61_CYG_n10_w10x30_v1_cond_m1_1p0nm_m2_1p0nm_draw_009,draw,examples/recipes/full_fidelity_algorithm_campaign_template/target_registry_no_ke_hardloworder/ff_targetreg_no_ke_hardlo_61_CYG_n10_w10x30_v1.yaml,work/full_fidelity_target_registry_no_ke_hardloworder_n10_w10x30_projected_30min_v1_shards/61_CYG/configs/ff_targetreg_no_ke_hardlo_61_CYG_n10_w10x30_v1_cond_m1_1p0nm_m2_1p0nm_draw_009.yaml,/projects/shera_hpc/dmckeith/dLuxShera-Results/observation_bias_campaign/ff_targetreg_no_ke_hardlo_61_CYG_n10_w10x30_v1_cond_m1_1p0nm_m2_1p0nm_draw_009,m1_1p0nm_m2_1p0nm,1.0,1.0,9,10,9,300,10,30,20,5-00:00:00,10,250G,10,"sbatch --time=5-00:00:00 --cpus-per-task=10 --mem=250G --job-name=ff-m1_1p0nm_m2_1p0nm-d009 --output=""$RESULTS_ROOT/slurm_logs/%x-%j.out"" --error=""$RESULTS_ROOT/slurm_logs/%x-%j.err"" --export=ALL,RESULTS_ROOT=/projects/shera_hpc/dmckeith/dLuxShera-Results,CONFIG=work/full_fidelity_target_registry_no_ke_hardloworder_n10_w10x30_projected_30min_v1_shards/61_CYG/configs/ff_targetreg_no_ke_hardlo_61_CYG_n10_w10x30_v1_cond_m1_1p0nm_m2_1p0nm_draw_009.yaml,RUN_NAME=ff_targetreg_no_ke_hardlo_61_CYG_n10_w10x30_v1_cond_m1_1p0nm_m2_1p0nm_draw_009,MAX_WORKERS=10,FAIL_FAST=1,ANALYZE_AFTER_RUN=1,USE_RESOURCE_TIME=1 examples/recipes/full_fidelity_algorithm_campaign_template/full_fidelity_iterative_campaign_hpc.sbatch"
